name,Description,Test Type,Remote Testing,Adaptive/IRT,Job Levels,Languages,Assessment Length,url
Healthcare Aide 7.0 Solution,"Entry-level assessment for patient care roles. Measures ability to follow instructions, provide personal care, and maintain patient respect.",Biodata & Situational Judgement,yes,no,Entry-Level,"English (USA), French (Canada), Latin American Spanish",22,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/
Guest Services Associate Solution,"For entry to mid-level customer service roles in hospitality. Focused on service delivery, guest interaction, and reservations.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,Entry-Level,English (USA),48,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/
Manager + 7.0 Solution,"Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL�s new innovative mobile-first ability assessment, Verify Interactive � Deductive Reasoning. Sample tasks include: planning projects with subordinates; collaborating with senior managers on procedures; coaching employees; and solving employees' and customers' problems.","Ability & Aptitude, Biodata & Situational Judgement, Competencies",yes,yes,"Front Line Manager, Manager","English (USA), English International",53,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/
Manager - Short Form,The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks include: planning projects with subordinates; collaborating with senior managers; coaching employees; and solving employees' and customers' problems.,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),57,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/
Insurance Sales Manager Solution,"The Sales Manager solution is for entry- to mid-level management positions that involve supervising employees in an insurance organization and includes tasks such as analyzing sales stats, promoting products, and training subordinates.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),51,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/
Insurance Director Solution,"The Insurance Director solution is for senior-level managers overseeing sales across brokerages or territories, with responsibilities like profit/loss accountability and aligning work to company goals.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Director, Front Line Manager, Manager, Supervisor",English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/
Insurance Agent Solution,"The Insurance Agent solution is for mid-level professionals in the insurance sector who sell and manage policies, interact with clients, and fulfill claims.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Mid-Professional,English (USA),46,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/
Insurance Administrative Assistant Solution,"The Administrative Assistant solution is for entry-level clerical roles involving customer interaction, mail handling, file management, and front-desk tasks.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,Entry-Level,English (USA),24,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/
Insurance Account Manager Solution,"The Insurance Account Manager solution is for mid-level insurance professionals managing customer accounts and interactions, sales, complaints, and billing.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,Mid-Professional,English (USA),48,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/
Installation and Repair Technician Solution,"Designed for entry-level telecom technicians focused on installing, maintaining, and repairing equipment with some customer interaction.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,Professional Individual Contributor,English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/
Industrial Professional and Skilled 7.1 Solution,"Measures safe and effective performance for technical or professional industrial roles, including mechanical comprehension and decision-making.","Ability & Aptitude, Biodata & Situational Judgement",yes,no,Entry-Level,"Portuguese (Brazil), Swedish, English International, Dutch, Italian, French, English (USA), French (Canada), Norwegian, German",49,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/
Industrial Professional and Skilled 7.1 (Americas),Same as the Industrial Professional and Skilled 7.1 solution but tailored for the Americas norm.,"Ability & Aptitude, Biodata & Situational Judgement",yes,no,Entry-Level,"Portuguese (Brazil), English (USA), French (Canada)",49,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/
Industrial - Semi-skilled 7.1 (International),"Measures foundational behaviors for semi-skilled industrial roles like production or construction, for international use.",Biodata & Situational Judgement,yes,no,Entry-Level,"French (Canada), Finnish, English International, French, Danish, Norwegian, Swedish",24,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/
Industrial - Semi-skilled 7.1 (Americas),"Same as the International version, but for Americas. Covers foundational behaviors for production and industrial safety.",Biodata & Situational Judgement,yes,no,Entry-Level,"English (USA), Portuguese (Brazil), French (Canada)",24,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/
Nurse Solution,"The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration. Sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients' medical information, creating a nursing care plan, and educating patients' about healthcare issues. Potential job titles that use this solution are: Registered Nurse, Charge Nurse, Licensed Practical Nurse, and Clinic Nurse. Multiple configurations of this solution are available.","Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement",yes,yes,Professional Individual Contributor,English (USA),66,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/
Nurse Leader Solution,"The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available.","Simulations, Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),59,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/
Network Engineer/Analyst Solution,"The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available.","Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude",yes,yes,Professional Individual Contributor,English (USA),41,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/
Manufacturing Skilled Maintenance Worker,"The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate�s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician.","Ability & Aptitude, Biodata & Situational Judgement",yes,yes,Entry-Level,English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/
Manufacturing Production Team Member,"The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace for production workers. This solution measures a candidate�s error checking abilities and general tendency to behave safely and efficiently in the workplace. The solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and error checking. The Manufacturing Production Team Member solution is designed for selection to job titles, such as: Production Worker, Material Handler, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Ability & Aptitude, Biodata & Situational Judgement",yes,no,Entry-Level,English (USA),35,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/
Manager 8.0+ JFA,"The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL�s new innovative mobile-first ability assessment, Verify Interactive � Inductive Reasoning. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. �The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. �The Management Potential scale measures the potential for managerial success across industry type and functional area.","Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",yes,no,Manager,"English (USA), English International",44,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/
Manager 8.0 JFA,The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. �The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. �The Management Potential scale measures the potential for managerial success across industry type and functional area.,"Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior",yes,no,Manager,"English (USA), English International",26,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/
Manager 7.1 (International),"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.","Biodata & Situational Judgement, Competencies, Personality & Behavior",Yes,no,"Director, Executive, Front Line Manager, Manager","English (USA), English International, French, German, Portuguese (Brazil), Danish, Finnish, Italian, Norwegian, Swedish, Dutch, French (Canada)",40,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/
Manager 7.1 (Americas),"Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.","Biodata & Situational Judgement, Competencies, Personality & Behavior",Yes,no,"Executive, Director, Front Line Manager, Manager","Portuguese (Brazil), French (Canada)",40,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/
Manager 7.0 Solution,"Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.","Biodata & Situational Judgement, Competencies",Yes,no,"Manager, Front Line Manager","French (Canada), Latin American Spanish, English International, English (USA)",35,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/
Manager + 7.1 (International),"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL�s new innovative mobile-first ability assessment, Verify Interactive � Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.","Biodata & Situational Judgement, Competencies, Personality & Behavior",Yes,yes,"Director, Executive, Front Line Manager, Manager","French (Canada), Dutch, Finnish, Norwegian, Swedish, Portuguese (Brazil), Danish, English (USA), Italian",63,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/
Manager + 7.1 (Americas),"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL�s new innovative mobile-first ability assessment, Verify Interactive � Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.","Biodata & Situational Judgement, Competencies, Personality & Behavior",Yes,yes,"Director, Executive, Front Line Manager, Manager","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada)",63,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/
Project Manager - Short Form,"The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job include, but are not limited to: guiding, supervising, and influencing project team members, scoping project resource requirements, and managing project timelines, scope and budgets. Potential job titles that use this solution are: Project Manager, Implementation Manager, Construction Project Manager and IT Project Manager.","Personality & Behavior, Ability & Aptitude, Knowledge & Skills, Simulations",yes,yes,Professional Individual Contributor,English (USA),49,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/
Professional/Individual Contributor - Short Form,"The Professional/Individual Contributor solution is for mid to upper-level, non-managerial positions. Sample tasks for these jobs include, but are not limited to: meeting with clients to determine their needs, analyzing data sets, and working with co-workers to complete projects. Potential job titles that use this solution are: Engineer, Human Resource Consultant, and IT Analyst.","Personality & Behavior, Ability & Aptitude, Knowledge & Skills, Simulations",yes,yes,Professional Individual Contributor,English (USA),44,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/
Professional 8.0 JFA,The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that underlie successful performance in a professional/individual contributor setting across a wide range of industries.,"Ability & Aptitude, Knowledge & Skills, Simulations",no,no,Professional Individual Contributor,"English International, English (USA)",16,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/
Professional 7.1 (International),"Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","Ability & Aptitude, Knowledge & Skills",no,no,"Professional Individual Contributor, Mid-Professional","English International, Swedish, Italian, Finnish, Dutch, French, English (USA), German, Portuguese (Brazil), Latin American Spanish, French (Canada), Danish, Norwegian",33,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/
Professional 7.0 Solution,"Our Professional 7.0 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","Ability & Aptitude, Knowledge & Skills",no,no,"Professional Individual Contributor, Mid-Professional","English (USA), English International, French (Canada), Latin American Spanish",33,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/
Professional + 7.1 (International),"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL�s new innovative mobile-first ability assessment, Verify Interactive � Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior, Simulations",yes,yes,"Professional Individual Contributor, General Population, Mid-Professional","Chinese Traditional, Dutch, Chinese Simplified, French, English International, Swedish, Italian, Norwegian, Danish, English (USA), French (Canada), Portuguese (Brazil), Spanish, German, Portuguese, Finnish",56,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/
Professional + 7.1 (Americas),"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL�s new innovative mobile-first ability assessment, Verify Interactive � Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior, Simulations",yes,yes,"Professional Individual Contributor, General Population, Mid-Professional",Latin American Spanish,56,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/
Professional + 7.0 Solution,"Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL�s new innovative mobile-first ability assessment, Verify Interactive � Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior, Simulations",yes,yes,"Professional Individual Contributor, Mid-Professional","English (USA), English International",51,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/
Prep/Line Cook Solution,"The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final food items for consumption. The solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. Potential job titles that use this solution are: Cook, Line Cook, Food Preparer, Prep Cook and Chef. Multiple configurations of this solution are available.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior",yes,yes,Entry-Level,English (USA),24,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/
Phone Banker - Short Form,"This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior",no,no,"Entry-Level, Mid-Professional",English (USA),40,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/
Personal Banker - Short Form,"The Personal Banker � Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior, Simulations",no,no,"Entry-Level, Mid-Professional",English (USA),30,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/
Nursing Assistant Solution,"The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake. Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant. Multiple configurations of this solution are available.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior",no,no,Entry-Level,English (USA),41,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/
Sales Professional 7.1 (Americas),"Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","Biodata & Situational Judgement, Competencies",yes,no,"Professional Individual Contributor, Mid-Professional","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada)",21,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/
Sales Professional 7.0 Solution,"Our Sales Professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","Competencies, Biodata & Situational Judgement",yes,no,"Mid-Professional, Professional Individual Contributor","English International, English (USA), French (Canada), Latin American Spanish",21,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/
Sales Manager Solution,"The Sales Manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing sales plans, promoting products to customers, training subordinates, building ongoing customer relationships, and making day-to-day decisions with minimal guidance from others.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager",English (USA),63,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/
Sales Engineer Solution,"The Sales Engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. The solution is focused on positions that involve the design of telecommunications networks for specific customer applications, and places an emphasis on reasoning ability and sales ability. Sample tasks may include: designing network solutions to meet customer needs, communicating technical information to all levels of clients participating in the sales process, assisting or owning the sales process, and ensuring proper implementation of contracted equipment and services.","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations",yes,yes,Professional Individual Contributor,English (USA),61,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/
Sales Director Solution,"The Sales Director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic territories. Sample tasks for these jobs include, but are not limited to: directing a group of sales supervisors or sales managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Director, Front Line Manager, Manager",English (USA),59,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/
Retail Sales Associate Solution,"The Retail Sales Associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),29,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/
Retail Manager w/ Sales Solution,The Retail Manager with Sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees but also have a significant portion of their job performance based on sales and customer service.,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),43,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/
Retail Consultant Solution,"The Retail Consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),45,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/
Restaurant Supervisor Solution,"The Restaurant Supervisor solution is designed for management level positions in the hospitality industry. Sample tasks include serving as a staff resource, setting schedules and monitoring daily operations.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),53,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/
Restaurant Manager Solution,"The Restaurant Manager solution is designed for management level positions in the hospitality industry. Sample tasks include purchasing food and supplies, accounting, setting policies and procedures, and managing staff.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),48,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/
Reservation Agent Solution,"The Reservation Agent solution is designed for entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling reservations; looking up information and entering information into a computer.","Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement",yes,yes,Entry-Level,English (USA),43,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/
Proof Operator - Processing Specialist -Short Form,"The Proof Operator � Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers.",Simulations,yes,no,Entry-Level,English (USA),30,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/
Store Manager 7.1 (Americas),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","Biodata & Situational Judgement, Competencies",yes,no,"Front Line Manager, Manager","English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada)",34,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/
Store Manager 7.0 Solution,"Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","Biodata & Situational Judgement, Competencies",yes,no,"Front Line Manager, Manager","English (USA), English International, French (Canada), Latin American Spanish",34,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/
Stock Clerk Solution,"The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked. Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments. Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Entry-Level,English (USA),25,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/
Service Supervisor Solution,"The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions. Sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),48,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/
Service Associate Solution,"The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),38,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/
Server Solution,"The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. The solution is focused on work ethic, customer focus and sales.","Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior",yes,yes,Entry-Level,English (USA),40,https://www.shl.com/solutions/products/product-catalog/view/server-solution/
Senior Sales Professional Solution,"The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with new or existing customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks include promoting products to customers, consulting with and persuading customers to buy products, and building ongoing customer relationships.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Professional Individual Contributor,English (USA),42,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/
Senior Insurance Agent Solution,"The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. Sample tasks for this position include delivering and explaining policies, calculating premiums, customizing insurance programs to suit individual customers, and conferring with clients to obtain and provide information when claims are made.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,no,Professional Individual Contributor,English (USA),44,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/
Sales Support Specialist Solution,"The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. Sample tasks for these jobs include implementing customer orders, assisting with activities, and utilizing processes to meet customer requirements.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,Entry-Level,English (USA),43,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/
Sales Supervisor Solution,"The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. Sample tasks include planning and preparing work schedules, promoting products to customers, training subordinates, and making day-to-day decisions.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),38,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/
